,Title,Author,Media
0,Book Review 邪なき言葉がつくる邪な世界[林奕含著/泉京鹿訳 房思琪(ファン・スーチー)の初恋の楽園],濱田 麻矢,"東方 (470), 32-35, 2020-04"
1,映画『初恋』三池崇史監督に聞く,"三池 崇史,堀木 三紀","映画テレビ技術 = The motion picture & TV engineering (811), 24-27, 2020-03"
2,"「初恋」監督・三池崇史が語る 「俳優・窪田正孝」論 (2020の窪田正孝 初恋 15年目の入り口で思う10年前の""原点""と今とこれからと)","三池 崇史,平田 真人","キネマ旬報 (1831), 29-31, 2020-02-10"
3,"2020の窪田正孝 初恋 15年目の入り口で思う10年前の""原点""と今とこれからと (2020の窪田正孝 初恋 15年目の入り口で思う10年前の""原点""と今とこれからと)",平田 真人,"キネマ旬報 (1831), 18-28, 2020-02-10"
4,週現『熱討スタジアム』(第346回)最高視聴率55.3% 「妾の子」の哀しい初恋に日本中が涙した 沢口靖子 NHK朝ドラ『澪つくし』を語ろう,"ジェームス三木,川野 太郎,ペリー荻野","週刊現代 61(35), 152-155, 2019-11-23"
5,戦争と児童文学(9)船場のぼんぼんの初恋と戦争 : 今江祥智『ぼんぼん』 : 生き延びるための言葉を探して,繁内 理恵,"みすず 61(9), 24-35, 2019-10"
6,真梨幸子『初恋さがし』刊行記念対談 驚かせて、喜ばせて。最高の仕事です。 (真梨幸子『初恋さがし』刊行記念特集),"真梨 幸子,長江 俊和","波 53(6), 8-11, 2019-06"
7,初恋 : お父さん、チビがいなくなりました,本調 有香,"シナリオ : 映画芸術の原点 : Scenarioの月刊誌 75(6), 6-33, 2019-06"
8,『初恋 : お父さん、チビがいなくなりました』で映画初共演 五〇年連れ添った夫婦の孤独と純愛描く,"藤 竜也,倍賞 千恵子","第三文明 (714), 6-10, 2019-06"
9,アートな時間 映画 初恋 : お父さん、チビがいなくなりました : 二人の名優が織りなす会話の妙 老後の生き方を考えさせる秀作,寺脇 研,"エコノミスト 97(19), 92-93, 2019-05-14"
10,撮影報告 初恋 お父さん、チビがいなくなりました,清久 素延,"映画撮影 (221), 14-17, 2019-05"
11,連続インタビュー 新・私の「大往生」(2)出口治明(70) 大学学長 55歳で書いた遺書。 異国の街角で、初恋を思い出しながら死ねたら (60周年記念特大号),出口 治明,"週刊文春 61(13), 162-165, 2019-04-04"
12,特別な他者と新しい自分が出会う初恋の発達論 (特集 ハジメテノ恋),木下 孝司,"みんなのねがい (632), 31-33, 2019-01"
13,私と、初恋 (特集 ハジメテノ恋),,"みんなのねがい (632), 24-30, 2019-01"
14,彝族の詩人・吉狄馬加について,渡辺 新一,"人文研紀要 (94), 57-81, 2019"
15,西城秀樹(2)広島、父の鉄拳、そして初恋,森 功,"週刊文春 60(38), 32-36, 2018-10-11"
16,あえて言います 眞子さま、初恋を貫いて!,"林 真理子,東村 アキコ","文芸春秋 96(9), 122-129, 2018-09"
17,バルザック『続女性研究』を読む 　ーアンリ・ド・マルセーの恋―,"柏木 隆雄,Takao KASHIWAGI","大手前大学論集 = Otemae Journal (18), 153-186, 2018-07-31"
18,青春ドラマの名脇役 小倉一郎 夫婦で赤裸々対談 初恋の人と40年越しの「新婚初夜」 (体験告白特集 あの性春の日々に帰ろう),"小倉 一郎,小倉 まき","週刊現代 60(19), 146-148, 2018-05-26"
19,Life/style MOVIES ひと夏の経験 : 少年が知った初恋 : 話題作,,"Newsweek = ニューズウィーク 33(17), 66-67, 2018-05-01"
20,実践・中学校 初恋(国語 : 性教協静岡サークル) (特集 学校で性教育をはじめるために(その2)ゆたかで多様な実践の可能性),"石田 智子,山下 泰","Sexuality (86), 50-59, 2018-04"
21,川端康成における初恋をテーマとした創作についての考察,戴 松林,"千葉大学人文公共学研究論集 = Journal of studies on humanities and public affairs of Chiba University (36), 34-50, 2018-03"
22,竹幽文庫蔵『香道籬之菊』の紹介 : 和歌を主題とする組香(3),"矢野 環,福田 智子,Tamaki Yano,Tomoko Fukuda,ヤノ タマキ,フクダ トモコ","社会科学 = The social sciences 47(1), 13-35, 2017-05"
